0,description,topic,tech
Liquid Galaxy project,We code immersive and interactive aps with G Earth,"['visualization', 'networking', 'maps', 'cluster', 'ux']","['python', 'linux', 'android', 'flutter', 'Google Earth']"
QEMU,Open source machine emulator and virtualizer,"['systems programming', 'kernel', 'compiler', 'emulator', 'hypervisor']","['c', 'python', 'linux', 'rust']"
PostgreSQL,The Most Advanced Open Source Relational Database,"['web', 'database', 'ui', 'sql', 'Benchmark']","['c', 'python', 'postgresql', 'javascript', 'sql']"
52°North Spatial Information Research GmbH,Innovative ideas & technologies in geoinformatics,"['citizen science', 'spatial information infrastructures', 'open standards', 'data analytics', 'Geoinformation']","['javascript', 'android', 'java', 'web services', 'ogc standards']"
Joplin,The open source note taking application,"['database', 'search', 'synchronisation', 'note-taking', 'office']","['javascript', 'react', 'typescript', 'electron', 'React-Native']"
RTEMS Project,A real-time operating system for Earth & Space,"['kernel', 'embedded', 'real-time', 'multicore', 'rtos']","['python', 'c/c++', 'assembly', 'posix']"
Semi Technologies,The ML-first vector search engine,"['machine learning', 'Vector Database', 'Search Engines']","['python', 'machine learning', 'golang', 'vectors', 'natural language processing']"
Software Heritage,The universal source code archive,"['big data', 'digital preservation', 'source code management', 'floss', 'big code']","['python', 'postgresql', 'javascript', 'django', 'git']"
LEAP Encryption Access Project,Privacy should not be a priviledge,"['privacy', 'vpn', 'Circumvention']","['java', 'golang', 'qt5', 'docker', 'ansible']"
OpenAstronomy,Look at the Universe with the power of open source,"['astronomy', 'solar physics', 'high energy astrophysics']","['python', 'javascript', 'julia', 'css']"
MZmine,Open-source software for mass spectrometry,"['visualization', 'mass spectrometry', 'biochemistry', 'feature detection', 'ion mobility']","['java', 'javafx']"
GNU Radio,The free & open software radio ecosystem,"['real-time', 'dsp', 'communications engineering', 'cybersecurity', 'Software-Defined Radio']","['python', 'c++', 'qt', 'simd']"
Electron,Cross-platform desktop apps with web technologies,"['desktop', 'framework', 'javascript']","['javascript', 'node.js', 'c++', 'typescript', 'Chromium']"
openSUSE Project,"openSUSE is the makers' choice for sysadmins, developers and desktop","['operating systems', 'software quality', 'developer tools', 'containers', 'edge']","['python', 'linux', 'rust', 'Testing', 'configuration management']"
mlpack,"a fast, flexible machine learning library","['machine learning', 'embedded', 'ai', 'deep learning', 'Neural networks']","['c++', 'C++ template metaprogramming']"
The Palisadoes Foundation,Transforming non-profit organizations in the cloud,"['web', 'api', 'database', 'cloud', 'mobile']","['mongodb', 'node.js', 'flutter', 'graphql', 'typescript']"
SymPy,SymPy is a Python library for symbolic mathematics,"['mathematics', 'physics', 'symbolic mathematics']","['python', 'numpy', 'jupyter']"
CHIPS Alliance,"Open source IP, tools & standards for ASIC/FPGA","['soc', 'IP cores', 'ASIC design', 'HDL', 'chiplets']","['fpga', 'chisel', 'risc-v', 'systemverilog', 'ASIC']"
Cuneiform Digital Library Initiative (CDLI),Curating humanity's oldest written sources,"['linguistics', 'History', 'culture']","['mysql', 'javascript', 'docker', 'php', 'SCSS']"
Public Lab,Tools for communities to measure pollution,"['science', 'environment', 'community', 'documentation', 'forum']","['javascript', 'ruby on rails']"
The ns-3 Network Simulator Project,ns-3 is a simulation tool for computer networks.,"['computer networking', 'network simulation']","['python', 'django', 'c++']"
Performance Co-Pilot,System performance analysis,"['metrics', 'visualization', 'distributed', 'performance', 'observability']","['c', 'grafana', 'redis', 'htop', 'sysstat']"
Learning Equality,Equity in education to transform lives,"['education', 'distributed databases', 'offline', 'learning']","['python', 'javascript', 'django', 'vue.js']"
FOSSology,Open Source License Compliance by OSS,"['automation', 'spdx', 'license compliance', 'nlp', 'compliance automation']","['python', 'postgresql', 'c/c++', 'php', 'reactjs']"
LibreOffice,LibreOffice is a free and open source office suite,"['office suite', 'desktop application', 'end user application']","['python', 'java', 'c++']"
Haskell.org,Purely functional programming language,"['compilers', 'programming languages', 'functional programming', 'programming tools']","['haskell', 'ghc']"
Organic Maps,"Offline maps app for tourists, cyclers & hikers","['privacy', 'maps', 'navigation', 'mobile', 'offline']","['android', 'java', 'c++', 'ios', 'OpenStreetMap']"
INCF,An open & FAIR neuroscience standards organization,"['machine learning', 'data visualization', 'neuroscience', 'brain modelling', 'neuroimage processing']","['python', 'javascript', 'java', 'c++', 'gpu']"
The Honeynet Project,Honeypots and Threat Intelligence R&D,"['honeypots', 'malware analysis', 'Threat Intelligence']","['python', 'javascript', 'django', 'go', 'docker']"
sktime,A unified framework for ML with time series,"['data science', 'ai', 'time series', 'toolbox frameworks']","['python', 'github', 'sphinx', 'scikit-learn']"
Ste||ar group,Shaping a Scalable Future,"['library', 'optimization', 'parallel algorithms', 'hpx', 'application']","['c++', 'hpc']"
MetaBrainz Foundation Inc,"Open music / book metadata, music recommendations","['open data', 'music', 'books', 'Music recommendation', 'music social network']","['python', 'react', 'perl', 'postgres', 'spark']"
ArduPilot,World's most advanced autonomous vehicle software,"['robotics', 'Drone', 'autonomous vehicle', 'UGV', 'unmanned vehicle']","['python', 'lua', 'c++', 'pixhawk']"
Mixxx,DJ Mixing App With Powerful Features For All DJs,"['music', 'dj', 'streaming']","['javascript', 'c++', 'qt']"
Center for Research in Open Source Software (CROSS),Amplifying Research Imapct through Open Source,"['hardware', 'data science', 'networking', 'data management', 'systems']","['python', 'c/c++', 'verilog', 'apache arrow', 'matlab/simulink']"
